epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
82,64042,0.15526949519842442,0.026748510084750557,0.17754643466252065,93.91405249679897,99.90997119078105,6.085947503201027,0.09002880921894985,0.1494822912155443,0.08379766136218028,0.3103886489391327,89.25,99.74,10.75,0.2600000000000051
83,64823,0.15538955620095304,0.02660848755537319,0.14692854400003919,94.88036171574905,99.92797695262485,5.119638284250954,0.07202304737515419,0.14938278107126807,0.0836981299576486,0.307921923494339,89.3,99.75,10.700000000000003,0.25
84,65604,0.15518942746249112,0.026508392658795347,0.13362668681217216,95.30449743918054,99.92397567221511,4.695502560819463,0.07602432778489288,0.14958180591558953,0.0836981299576486,0.30186802468299867,89.64,99.74,10.36,0.2600000000000051
85,66385,0.15522950284764953,0.02658847962695719,0.12270944017950307,95.78064980793854,99.93597951344431,4.219350192061455,0.06402048655569104,0.1493827355135778,0.08389714417184234,0.2943785487651825,90.05,99.76,9.950000000000003,0.23999999999999488
86,67166,0.15518946012675228,0.026548438127153816,0.11994493377803993,95.8706786171575,99.9479833546735,4.129321382842505,0.05201664532650341,0.14997991331064017,0.08379767047371833,0.29731675295829774,89.9,99.83,10.099999999999994,0.1700000000000017
87,67947,0.15566964460854035,0.02672852352547737,0.10981119968827037,96.21879001280409,99.95598591549296,3.7812099871959077,0.04401408450704025,0.14968135098742832,0.08379767654807704,0.314032133769989,89.28,99.78,10.719999999999999,0.21999999999999886
88,68728,0.15556961168247668,0.026848561327222367,0.10754204813328962,96.2768085787452,99.95598591549296,3.7231914212547963,0.04401408450704025,0.15057705466155033,0.08449432500608407,0.289868435049057,90.25,99.79,9.75,0.20999999999999375
89,69509,0.15567994361955592,0.026948572273596302,0.10308068953502193,96.45486555697823,99.95398527528809,3.545134443021766,0.046014724711909594,0.14928323751801897,0.08349907777871296,0.3002285592556,89.78,99.74,10.219999999999999,0.2600000000000051
90,70290,0.15546958089332727,0.026528459504990817,0.10077310457024317,96.4448623559539,99.95598591549296,3.5551376440460984,0.04401408450704025,0.1494823231059275,0.0833000772318263,0.31356523714065554,89.63,99.75,10.370000000000005,0.25
91,71071,0.1555095720230083,0.026588460394728657,0.09379436226893173,96.8569942381562,99.96798975672215,3.1430057618437957,0.032010243277852624,0.14968130998550708,0.08379763099038677,0.3124886858463287,89.95,99.77,10.049999999999997,0.23000000000000398
92,71852,0.1554695650191069,0.026528445767684723,0.0946996766076961,96.69094110115238,99.96398847631242,3.309058898847624,0.036011523687577096,0.1496813206156348,0.08359859855311691,0.3051819013595581,89.79,99.82,10.209999999999994,0.18000000000000682
93,72633,0.15542956992087079,0.026548468654500692,0.08943050410049978,96.97503201024328,99.97399167733674,3.0249679897567177,0.02600832266325881,0.14918371674361502,0.08339956763443673,0.3022206329345703,90.07,99.74,9.930000000000007,0.2600000000000051
94,73414,0.1552895229696159,0.02658847932168372,0.08636301427736172,97.08506722151088,99.97599231754161,2.914932778489117,0.024007682458389468,0.14948225780657143,0.08369810110444476,0.3206770082473755,89.28,99.78,10.719999999999999,0.21999999999999886
95,74195,0.1557096354329479,0.026728505209069244,0.08525383906503341,97.0610595390525,99.97599231754161,2.9389404609475065,0.024007682458389468,0.1490842005249801,0.0837976537692319,0.33455326943397523,89.26,99.78,10.739999999999995,0.21999999999999886
96,74976,0.15536952812448812,0.026668484476555936,0.08311830531142737,97.15108834827144,99.96999039692702,2.8489116517285566,0.030009603072983282,0.1490841807833143,0.08330006356451922,0.31710943315029144,89.64,99.76,10.36,0.23999999999999488
97,75757,0.1556696452190873,0.026488449448354722,0.07869123511979888,97.2991357234315,99.9819942381562,2.7008642765684954,0.018005761843795653,0.14928326940840217,0.08359863803644849,0.3311610123634338,89.42,99.75,10.579999999999998,0.25
98,76538,0.15542953145641372,0.026488414341905814,0.07726326283358428,97.32514404609475,99.98399487836107,2.6748559539052508,0.016005121638926312,0.14898470404801095,0.08310103112724936,0.31517678937911986,89.86,99.77,10.14,0.23000000000000398
99,77319,0.15568965192640943,0.02660848694482625,0.07333892853823269,97.41717349551857,99.98399487836107,2.5828265044814316,0.016005121638926312,0.14918374104104984,0.08330006812028824,0.3227952886581421,89.74,99.73,10.260000000000005,0.269999999999996
100,78100,0.15562963180444306,0.02648844731144044,0.07364116004273467,97.48319462227913,99.97199103713189,2.516805377720871,0.02800896286811394,0.14968133124576252,0.08399669379945014,0.324901331615448,89.92,99.7,10.079999999999998,0.29999999999999716
101,78881,0.15562963272026345,0.026628493041601437,0.07240389110985547,97.485195262484,99.98399487836107,2.514804737516002,0.016005121638926312,0.15088585531635648,0.08500216872828781,0.3226684947729111,89.98,99.81,10.019999999999996,0.18999999999999773
102,79662,0.15560960433852505,0.026568452466312658,0.07344796222833756,97.39116517285531,99.98399487836107,2.6088348271446904,0.016005121638926312,0.1493827917013958,0.08359864259221751,0.32523429050445557,89.76,99.68,10.239999999999995,0.3199999999999932
103,80443,0.15560960952817401,0.026788528689043776,0.07050270798035377,97.55521766965428,99.98599551856594,2.444782330345717,0.01400448143405697,0.1491837562269466,0.08349912333640323,0.33382000069618223,89.34,99.67,10.659999999999997,0.3299999999999983
104,81224,0.1554695778405926,0.026468436330289755,0.06972416620057616,97.63324263764405,99.9819942381562,2.366757362355955,0.018005761843795653,0.14908421419228718,0.08339958737610252,0.3403790619850159,89.13,99.71,10.870000000000005,0.29000000000000625
105,82005,0.1554695824196946,0.026588482679691876,0.06557352729761799,97.70726632522407,99.99199743918054,2.2927336747759313,0.008002560819463156,0.14918371066925631,0.08349908385307166,0.35232193875312806,88.9,99.68,11.099999999999994,0.3199999999999932
106,82786,0.15560962387602706,0.02664849761200928,0.0662874017344852,97.72727272727273,99.9939980793854,2.2727272727272663,0.006001920614593814,0.14888512404860965,0.08320048812088693,0.3262398916721344,90.03,99.7,9.969999999999999,0.29999999999999716
107,83567,0.1555095936974246,0.026488447006166975,0.06586467734181468,97.75528169014085,99.99199743918054,2.2447183098591523,0.008002560819463156,0.1494822775482372,0.08359859247875821,0.33913027181625366,89.64,99.72,10.36,0.28000000000000114
108,84348,0.15524951047079205,0.026548467738680283,0.06118824137386684,97.85931498079385,99.99799935979513,2.1406850192061455,0.0020006402048693417,0.14958181806430695,0.08379769628974283,0.3196060290813446,90.34,99.8,9.659999999999997,0.20000000000000284
109,85129,0.15540954642350788,0.026448421685857443,0.06224977914315485,97.8393085787452,99.98599551856594,2.1606914212547963,0.01400448143405697,0.1492832739641712,0.08330006660169857,0.34842005610466004,89.48,99.68,10.519999999999996,0.3199999999999932
110,85910,0.15570964214896424,0.026668486613470217,0.05983260118911727,97.91133162612036,99.9939980793854,2.088668373879642,0.006001920614593814,0.1492832739641712,0.08389719428530165,0.3597235693454742,89.56,99.73,10.439999999999998,0.269999999999996
111,86691,0.15552957537232226,0.02654844423262319,0.05926096461780093,97.95334507042253,99.9939980793854,2.046654929577471,0.006001920614593814,0.14948226691810948,0.08349907018576458,0.34511791825294497,89.6,99.77,10.400000000000006,0.23000000000000398
112,87472,0.15550959217105723,0.026468440298844848,0.06036329452096271,97.8453104993598,99.99799935979513,2.1546895006402025,0.0020006402048693417,0.14988039861059493,0.08389719580389132,0.3414004123687744,89.37,99.7,10.629999999999995,0.29999999999999716
113,88253,0.15564963790121825,0.02662849212578103,0.06136376367793651,97.89932778489117,99.98999679897567,2.1006722151088297,0.010003201024332498,0.15027844526205852,0.08379763402756613,0.33526277532577514,90.19,99.75,9.810000000000002,0.25
114,89034,0.15576930052187013,0.02682818127044795,0.05922865605747349,97.90933098591549,99.99199743918054,2.0906690140845114,0.008002560819463156,0.14968136009896638,0.08379768717820478,0.3423314579486847,90.07,99.65,9.930000000000007,0.3499999999999943
115,89815,0.15691003909336926,0.0273687259488466,0.05842568143896959,97.92533610755441,99.99599871959028,2.074663892445585,0.0040012804097244725,0.1492832299250706,0.08359860159029626,0.346095583820343,89.69,99.69,10.310000000000002,0.3100000000000023
116,90596,0.15548958821119632,0.026488450974722067,0.05726706248048631,97.93934058898847,99.99199743918054,2.060659411011528,0.008002560819463156,0.148785597199847,0.08310096127212427,0.34893618125915526,89.49,99.64,10.510000000000005,0.35999999999999943
117,91377,0.15598974795713924,0.02656847414072894,0.05669814190814193,97.99935979513444,99.98999679897567,2.0006402048655616,0.010003201024332498,0.14928326637122283,0.08339958737610252,0.3496647469997406,89.39,99.71,10.61,0.29000000000000625
118,92158,0.15542956747868303,0.02642842993693529,0.054385948859431835,98.0713828425096,100.0,1.9286171574903932,0.0,0.14908422785959427,0.08310102353430097,0.3432448303222656,89.81,99.71,10.189999999999998,0.29000000000000625
119,92939,0.1557896604305956,0.026568451550492252,0.05593255858644176,98.09338988476313,99.99599871959028,1.906610115236873,0.0040012804097244725,0.14958183325020372,0.08330006963887791,0.3721978005886078,88.99,99.73,11.010000000000005,0.269999999999996
